"","LadlabID","prod_tomerge","ihc_tomerge","fhc_tomerge","dce","sup.raw","reminders.total","reminders.recovered","notes_SL"
"47","infinity-060","prod",20,99,NA,"[70],71-79,16,[80],81-89,[90],91-99,[100]",NA,NA,"highest count not a part of the recording"
"48","infinity-062","nonprod",19,39,19,"[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",0,0,""
"49","infinity-066","nonprod",15,20,NA,NA,NA,NA,""
"50","infinity-067","nonprod",20,20,NA,NA,1,1,""
"51","infinity-068","prod",39,109,39,"[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",0,0,""
"52","infinity-069","nonprod",14,14,NA,NA,NA,NA,"not audio recorded"
"53","infinity-070","nonprod",38,38,NA,NA,NA,NA,"not audio recorded"
"54","infinity-071","nonprod",39,39,39,"[40] IDK",1,1,""
"55","infinity-073","nonprod",15,29,19,"[30], 39",1,1,""
"56","infinity-074","nonprod",14,29,NA,"[30]idk",NA,NA,"says audio recorded but not on server"
"57","infinity-075","prod",29,99,29,"[30]31-90,92-99,80[100]idk",2,2,""
"58","infinity-076","prod",69,119,69,"[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",0,0,""
"59","infinity-077","prod",14,49,29,"[30]31-39[40]41-49,100[50]558,59,57,58",0,0,""
"60","infinity-078","prod",30,99,59,"[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",1,1,""
"61","infinity-079","prod",12,38,NA,"[30],21,22-29,20-30,40,[30],31-38,29,[30]",1,1,""
