"","prod_tomerge","spon.raw","sup.raw","ihc","fhc","dce","decadeprompt","error.start","error.end","alldecadesprompted","notes","LadlabID"
"186","prod","1-49,60-69.","[70]71-89,20,[90]91-99[100]101-109,can't remember",49,99,69,70,50,59,"70,90","","infinity-123"
"187","prod","1-49,60-69.","[70]71-89,20,[90]91-99[100]101-109,can't remember",49,99,69,90,NA,NA,"70,90","","infinity-123"
"188","prod","1-22,24-94,96-100",NA,22,99,NA,NA,23,23,NA,"","infinity-124"
"189","prod","1-22,24-94,96-100",NA,22,99,NA,NA,95,95,NA,"","infinity-124"
"190","prod","1-37,34,[37]38-49","[50]51-59[60]61-69[70]71-79[80]81-89[90]91-99[100]idk",49,99,49,50,NA,NA,"50,60,70,80,90","","infinity-125"
"191","prod","1-37,34,[37]38-49","[50]51-59[60]61-69[70]71-79[80]81-89[90]91-99[100]idk",49,99,49,60,NA,NA,"50,60,70,80,90","","infinity-125"
"192","prod","1-37,34,[37]38-49","[50]51-59[60]61-69[70]71-79[80]81-89[90]91-99[100]idk",49,99,49,70,NA,NA,"50,60,70,80,90","","infinity-125"
"193","prod","1-37,34,[37]38-49","[50]51-59[60]61-69[70]71-79[80]81-89[90]91-99[100]idk",49,99,49,80,NA,NA,"50,60,70,80,90","","infinity-125"
"194","prod","1-37,34,[37]38-49","[50]51-59[60]61-69[70]71-79[80]81-89[90]91-99[100]idk",49,99,49,90,NA,NA,"50,60,70,80,90","","infinity-125"
"195","nonprod","1-13,16-19","[20],40,idk",13,19,19,20,14,15,"20","","infinity-126"
"196","prod","1-109,101-109,200-209,300-309,end",NA,99,99,NA,NA,NA,NA,NA,"","infinity-127"
"197","prod","1-115,117-126,128-130",NA,99,99,NA,NA,NA,NA,NA,"","infinity-128"
"198","prod","1-54,57,59,60-88,90-99","[100],101-109,[110],no",54,99,NA,NA,55,56,NA,"","infinity-129"
"199","prod","1-54,57,59,60-88,90-99","[100],101-109,[110],no",54,99,NA,NA,58,58,NA,"","infinity-129"
"200","prod","1-54,57,59,60-88,90-99","[100],101-109,[110],no",54,99,NA,NA,89,89,NA,"","infinity-129"
"201","nonprod","1-12,15,14,16-39,100 [prompt] 10-29,100","[40],41-49,[50],60,70,80,90,I forget",12,49,39,40,13,14,"40,50","","infinity-130"
"202","nonprod","1-12,15,14,16-39,100 [prompt] 10-29,100","[40],41-49,[50],60,70,80,90,I forget",12,49,39,50,NA,NA,"40,50","","infinity-130"
"203","nonprod","1-25,24",NA,25,25,NA,NA,NA,NA,NA,"","infinity-131"
"204","prod","1-39 [39..] that's all I know","[40],41-59,100,[60],61-69,100,[70],71-79,100,[80],81-89,[90],91-109,50",39,99,39,40,NA,NA,"40,60,70,80,90","","infinity-132"
"205","prod","1-39 [39..] that's all I know","[40],41-59,100,[60],61-69,100,[70],71-79,100,[80],81-89,[90],91-109,50",39,99,39,60,NA,NA,"40,60,70,80,90","","infinity-132"
"206","prod","1-39 [39..] that's all I know","[40],41-59,100,[60],61-69,100,[70],71-79,100,[80],81-89,[90],91-109,50",39,99,39,70,NA,NA,"40,60,70,80,90","","infinity-132"
"207","prod","1-39 [39..] that's all I know","[40],41-59,100,[60],61-69,100,[70],71-79,100,[80],81-89,[90],91-109,50",39,99,39,80,NA,NA,"40,60,70,80,90","","infinity-132"
"208","prod","1-39 [39..] that's all I know","[40],41-59,100,[60],61-69,100,[70],71-79,100,[80],81-89,[90],91-109,50",39,99,39,90,NA,NA,"40,60,70,80,90","","infinity-132"
"209","prod","1-116",NA,99,99,NA,NA,NA,NA,NA,"","infinity-133"
"210","prod","1-109,2000,2001-2009",NA,99,99,NA,NA,NA,NA,NA,"","infinity-134"
"211","prod","1-29,28,29-65,68,69,100","69,[70],71-74,76,75-79,50,[no],80,[yes],81-89,50?[no],80?[no],90-99,50?[100],101-108,110-112,130,180",65,99,69,70,66,67,"70,80,90","","infinity-135"
"212","prod","1-29,28,29-65,68,69,100","69,[70],71-74,76,75-79,50,[no],80,[yes],81-89,50?[no],80?[no],90-99,50?[100],101-108,110-112,130,180",65,99,69,80,NA,NA,"70,80,90","","infinity-135"
"213","prod","1-29,28,29-65,68,69,100","69,[70],71-74,76,75-79,50,[no],80,[yes],81-89,50?[no],80?[no],90-99,50?[100],101-108,110-112,130,180",65,99,69,90,NA,NA,"70,80,90","","infinity-135"
"214","nonprod","1-13,15-19,11,21-29,twenty ten, twenty eleven, twenty twelve,[28, 29],30-39, thirty ten, thirty eleven","[39,40], no",13,39,NA,NA,14,14,NA,"","infinity-136"
"215","nonprod","1-13,15-19,11,21-29,twenty ten, twenty eleven, twenty twelve,[28, 29],30-39, thirty ten, thirty eleven","[39,40], no",13,39,NA,NA,20,20,NA,"","infinity-136"
"216","nonprod","1-49.","[50],100",49,49,49,50,NA,NA,"50","","infinity-138"
"217","nonprod","1-20,",NA,20,20,NA,NA,NA,NA,NA,"","infinity-140"
"218","prod","1-109,1000",NA,99,99,NA,NA,NA,NA,NA,"","infinity-141"
"219","prod","1-42,44-129",NA,42,99,NA,NA,43,43,NA,"","infinity-142"
"220","prod","1-100, 1000",NA,99,99,NA,NA,NA,NA,NA,"","infinity-143"
"221","nonprod","1- 58, 90",NA,58,58,NA,NA,NA,NA,NA,"","infinity-144"
"222","prod","1- 49, 30,","[50]-69, 30, 70-89, 30, 90-119",49,99,49,50,NA,NA,"50","","infinity-145"
"223","prod","1-49,","[50]-69, [70]-79, [80]-109",49,99,49,50,NA,NA,"50,70,80","","infinity-146"
"224","prod","1-49,","[50]-69, [70]-79, [80]-109",49,99,49,70,NA,NA,"50,70,80","","infinity-146"
"225","prod","1-49,","[50]-69, [70]-79, [80]-109",49,99,49,80,NA,NA,"50,70,80","","infinity-146"
"226","prod","1-100",NA,99,99,NA,NA,NA,NA,NA,"","infinity-147"
"227","prod","1-101",NA,99,99,NA,NA,NA,NA,NA,"","infinity-148"
"228","prod","1-121",NA,99,99,NA,NA,NA,NA,NA,"","infinity-149"
"229","prod","1-109",NA,99,99,NA,NA,NA,NA,NA,"","infinity-150"
"230","prod","1-109",NA,99,99,NA,NA,NA,NA,NA,"","infinity-151"
"231","prod","1 -- 49","[50], 51-65, 68, 67-109 [110]",49,99,49,50,NA,NA,"50","","infinity-152"
"232","prod","1-109",NA,99,99,NA,NA,NA,NA,NA,"","infinity-153"
"233","prod","1 -- 59","[60],61 -109",59,99,59,60,NA,NA,"60","","infinity-154"
"234","prod","1--79","[80]-89, [90]-100",79,99,79,80,NA,NA,"80,90","","infinity-155"
"235","prod","1--79","[80]-89, [90]-100",79,99,79,90,NA,NA,"80,90","","infinity-155"
"236","prod","1--49","[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,50,NA,NA,"50,60,70,80,90","","infinity-156"
"237","prod","1--49","[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,60,NA,NA,"50,60,70,80,90","","infinity-156"
"238","prod","1--49","[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,70,NA,NA,"50,60,70,80,90","","infinity-156"
"239","prod","1--49","[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,80,NA,NA,"50,60,70,80,90","","infinity-156"
"240","prod","1--49","[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",49,99,49,90,NA,NA,"50,60,70,80,90","","infinity-156"
"241","prod","1-110",NA,99,99,NA,NA,NA,NA,NA,"","infinity-157"
