LadlabID,prod_tomerge,spon.raw,sup.raw,ihc,fhc,dce,decadesprompted,error.start,error.end,decadeprompt,notes
022516-ML,nonprod,"1-15,18,17,16,14,21,22,28.",NA,15,15,NA,NA,NA,NA,NA,
022516-R5,nonprod,"1-28,39,30-38",NA,28,38,NA,NA,29,29,NA,
022516-SM,nonprod,"1-50,14,50,60.",NA,50,50,NA,NA,NA,NA,NA,
022516-WL,nonprod,1-18.,NA,18,18,NA,NA,NA,NA,NA,
022616-AG,nonprod,"1-14,14-40",NA,40,40,NA,NA,NA,NA,NA,
022616-EC,prod,1-99.,[100],99,99,NA,NA,NA,NA,NA,
022616-FC,nonprod,"1-14,16,13,18-20.",NA,14,20,NA,NA,15,15,NA,
022616-FC,nonprod,"1-14,16,13,18-20.",NA,14,20,NA,NA,17,17,NA,
022616-JM,nonprod,"1-10,0.",NA,10,10,NA,NA,NA,NA,NA,
022616-OM,nonprod,"1-8,18-29;1-10",NA,10,29,NA,NA,11,17,NA,experimenter error did not provide decade
022616-RA,prod,"1-39,90-101; (second attempt)1-49","[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-109,[110]",49,99,49,50,NA,NA,"50,60,70,80,90",
022616-RA,prod,"1-39,90-101; (second attempt)1-49","[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-109,[110]",49,99,49,60,NA,NA,"50,60,70,80,90",
022616-RA,prod,"1-39,90-101; (second attempt)1-49","[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-109,[110]",49,99,49,70,NA,NA,"50,60,70,80,90",
022616-RA,prod,"1-39,90-101; (second attempt)1-49","[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-109,[110]",49,99,49,80,NA,NA,"50,60,70,80,90",
022616-RA,prod,"1-39,90-101; (second attempt)1-49","[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-109,[110]",49,99,49,90,NA,NA,"50,60,70,80,90",
030116-AA,prod,"1-109,100.",NA,99,99,NA,NA,NA,NA,NA,
030116-AS,prod,"1-54,56-94,96,97-100,110",NA,54,99,NA,NA,55,55,NA,
030116-AS,prod,"1-54,56-94,96,97-100,110",NA,54,99,NA,NA,95,95,NA,
030116-BK,nonprod,"1-12,14,14-18,21-59,40-46,37,50-59,30","[60], no, [What if I count 58, 59, 60], no.",12,59,NA,NA,13,13,NA,
030116-BK,nonprod,"1-12,14,14-18,21-59,40-46,37,50-59,30","[60], no, [What if I count 58, 59, 60], no.",12,59,NA,NA,19,20,NA,
030116-MS,nonprod,"1-29,twenty ten","[30],31-39,[40],50",29,39,29,30,NA,NA,"30,40",
030116-MS,nonprod,"1-29,twenty ten","[30],31-39,[40],50",29,39,29,40,NA,NA,"30,40",
030116-PW,nonprod,"1-12,14-15,17-19,40-49","[40],41-49,[do you know what's after 49?] ya. [Why aren't we outside? [so if I tell you that after 49 comes 50..] 51-59 [Do you know what comes after 59?] yeah. Well I saw a bird. [so what if I tell you after 59 comes 60?] 61-69 [So you do you know what comes after 69?] .. [70] 71-79 [What comes after 79? If I told you that 80 comes after 79. 79, 80..] 80. 81-89. [89, do you know what comes after 89? 90 comes after 89]. 91-98, [What comes after? do you know what comes after 98?]",12,49,NA,NA,13,13,NA,
030116-PW,nonprod,"1-12,14-15,17-19,40-49","[40],41-49,[do you know what's after 49?] ya. [Why aren't we outside? [so if I tell you that after 49 comes 50..] 51-59 [Do you know what comes after 59?] yeah. Well I saw a bird. [so what if I tell you after 59 comes 60?] 61-69 [So you do you know what comes after 69?] .. [70] 71-79 [What comes after 79? If I told you that 80 comes after 79. 79, 80..] 80. 81-89. [89, do you know what comes after 89? 90 comes after 89]. 91-98, [What comes after? do you know what comes after 98?]",12,49,NA,NA,16,16,NA,
030116-PW,nonprod,"1-12,14-15,17-19,40-49","[40],41-49,[do you know what's after 49?] ya. [Why aren't we outside? [so if I tell you that after 49 comes 50..] 51-59 [Do you know what comes after 59?] yeah. Well I saw a bird. [so what if I tell you after 59 comes 60?] 61-69 [So you do you know what comes after 69?] .. [70] 71-79 [What comes after 79? If I told you that 80 comes after 79. 79, 80..] 80. 81-89. [89, do you know what comes after 89? 90 comes after 89]. 91-98, [What comes after? do you know what comes after 98?]",12,49,NA,NA,20,39,NA,
030116-RB,nonprod,"1-13,16.",NA,13,13,NA,NA,NA,NA,NA,
030117-A,prod,1-120,NA,99,99,NA,NA,NA,NA,NA,
030118-WF,prod,1-150,NA,99,99,NA,NA,NA,NA,NA,
030216-AD,nonprod,"1-6,8,9,4,8,45. 1-12.",NA,12,12,NA,NA,NA,NA,NA,
030216-ED,prod,"1-65,69-89,91-100.",NA,65,99,NA,NA,66,68,NA,
030216-ED,prod,"1-65,69-89,91-100.",NA,65,99,NA,NA,90,90,NA,
030216-RL,nonprod,1-19.,"[20],24-29,22,[30],idk",19,29,19,20,21,23,"20,30",
030216-RL,nonprod,1-19.,"[20],24-29,22,[30],idk",19,29,19,30,NA,NA,"20,30",
030516-GS,nonprod,"1-5,4,3,2,1,1-6",NA,6,6,NA,NA,NA,NA,NA,
030516-MK,nonprod,1-12.,NA,12,12,NA,NA,NA,NA,NA,
