"","LadlabID","Sex","Age","AgeGroup","AgeMonths","HCReceivedSupport","IHC","DCE","FHC","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary"
"92","infinity-125","m",4.51,"4.5-5y",54,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"93","infinity-126","f",4.66,"4.5-5y",55,"1",13,19,19,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"94","infinity-127","m",5.92,"5.5-6y",71,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"95","infinity-128","f",5.36,"5-5.5y",64,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"96","infinity-129","f",5.02,"5-5.5y",60,"0",54,NA,99,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive"
"97","infinity-130","f",5.02,"5-5.5y",60,"1",12,39,49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"98","infinity-131","f",4.21,"4-4.5y",50,"0",25,NA,25,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"99","infinity-132","f",5.22,"5-5.5y",62,"1",39,39,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"100","infinity-133","m",5.18,"5-5.5y",62,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"101","infinity-134","m",5.14,"5-5.5y",61,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"102","infinity-135","m",5.72,"5.5-6y",68,"1",65,69,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"103","infinity-136","m",4.05,"4-4.5y",48,"1",13,39,39,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"104","infinity-138","m",5.49,"5-5.5y",65,"1",49,49,49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"105","infinity-140","m",5.61,"5.5-6y",67,"0",20,NA,20,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"106","infinity-141","m",5.91,"5.5-6y",70,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"107","infinity-142","m",5.93,"5.5-6y",71,"0",42,NA,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"108","infinity-143","m",5.61,"5.5-6y",67,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"109","infinity-144","m",5.59,"5.5-6y",67,"0",58,NA,58,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"110","infinity-145","f",5.72,"5.5-6y",68,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
