"","LadlabID","IHC","Age","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary","score","perc"
"57","infinity-081",33,4.36,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",1,0.125
"58","infinity-084",77,5.21,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive",5,0.625
"59","infinity-085",29,5.04,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",5,0.625
"60","infinity-086",49,5.63,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",6,0.75
"61","infinity-087",99,4.51,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"62","infinity-088",29,4.31,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",3,0.375
"63","infinity-090",9,4.36,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",1,0.125
"64","infinity-092",14,4.42,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"65","infinity-096",99,5.86,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"66","infinity-097",14,4.84,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",1,0.125
"67","infinity-098",14,4.41,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",3,0.375
"68","infinity-099",16,4.15,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"69","infinity-100",59,5.75,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",6,0.75
